movieId,title,genres,directedBy,starring
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,Tim Allen|Tom Hanks|Don Rickles|Jim Varney|John Ratzenberger|Wallace Shawn|Laurie Metcalf|John Morris|R. Lee Ermey|Annie Potts
2,Jumanji (1995),Adventure|Children|Fantasy,Joe Johnston,Jonathan Hyde|Bradley Pierce|Robin Williams|Kirsten Dunst
3,Grumpier Old Men (1995),Comedy|Romance,Howard Deutch,Jack Lemmon|Walter Matthau|Ann-Margret |Sophia Loren
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Forest Whitaker,Angela Bassett|Loretta Devine|Whitney Houston|Lela Rochon
5,Father of the Bride Part II (1995),Comedy,Charles Shyer,Steve Martin|Martin Short|Diane Keaton|Kimberly Williams|George Newbern|Kieran Culkin
6,Heat (1995),Action|Crime|Thriller,Michael Mann,Robert De Niro|Al Pacino|Val Kilmer|Jon Voight|Tom Sizemore|Ashley Judd|Diane Venora|Natalie Portman
7,Sabrina (1995),Comedy|Romance,Sydney Pollack,Harrison Ford|Greg Kinnear|Nancy Marchand|Julia Ormond
8,Tom and Huck (1995),Adventure|Children,Peter Hewitt,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig|Charles Rocket|Amy Wright|Michael McShane|Marian Seldes|Rachael Leigh Cook|Peter Mackenzie|Andy Stahl|Adrian Roberts|David Cowgill|Ike Eisenmann|Tamara Mello|Courtney Peldon
9,Sudden Death (1995),Action,Peter Hyams,Raymond J. Barry|Powers Boothe|Jean-Claude Van Damme|Whittni Wright
10,GoldenEye (1995),Action|Adventure|Thriller,Martin Campbell,Pierce Brosnan|Sean Bean|Famke Janssen|Izabella Scorupco|Joe Don Baker|Judi Dench|Robbie Coltrane|Alan Cumming|Tch\u00e9ky Karyo|Desmond Llewelyn|Samantha Bond
11,American President The (1995),Comedy|Drama|Romance,Rob Reiner,Michael Douglas|Michael J. Fox|Martin Sheen|Annette Bening|Richard Dreyfuss
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Mel Brooks,Peter MacNicol|Leslie Nielsen|Steven Weber|Amy Yasbeck
13,Balto (1995),Adventure|Animation|Children,Simon Wells,Kevin Bacon|Jim Cummings|Bob Hoskins|Bridget Fonda
14,Nixon (1995),Drama,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins|E.G. Marshall|David Paymer|David Hyde Pierce|Paul Sorvino|Mary Steenburgen|J.T. Walsh|James Woods|Brian Bedford|Kevin Dunn|Fyvush Finkel|Annabeth Gish|Tom Bower|Tony Goldwyn|Larry Hagman|Edward Herrmann|Madeline Kahn|Dan Hedaya|Tony Lo Bianco|Saul Rubinek|Robert Beltran|John Cunningham|John Diehl|John C. McGinley|Michael Chiklis|David Barry Gray|Enrique Castillo|Victor Rivers|Bridgette Wilson|Ric Young|O'Neal Compton|Marley Shelton|James Karen|Richard Fancy|Ling Bai|John Stockwell|Tony Plana
15,Cutthroat Island (1995),Action|Adventure|Romance,Renny Harlin,Maury Chaykin|Frank Langella|Matthew Modine|Geena Davis
16,Casino (1995),Crime|Drama,Martin Scorsese,Robert De Niro|Joe Pesci|James Woods|Sharon Stone
17,Sense and Sensibility (1995),Drama|Romance,Ang Lee,Hugh Grant|Alan Rickman|Emma Thompson|Kate Winslet
18,Four Rooms (1995),Comedy,Allison Anders|Alexandre Rockwell|Robert Rodriguez|Quentin Tarantino,Sammi Davis|Amanda De Cadenet|Valeria Golino|Madonna|Ione Skye|Lili Taylor|Alicia Witt|Jennifer Beals|David Proval|Antonio Banderas|Lana McKissack|Salma Hayek|Quentin Tarantino|Kathy Griffin|Marisa Tomei|Tim Roth|Bruce Willis
19,Ace Ventura: When Nature Calls (1995),Comedy,Steve Oedekerk,Simon Callow|Jim Carrey|Maynard Eziashi|Ian McNeice|Bob Gunton
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper|Joe Grifasi|Skipp Sudduth|Aida Turturro|Vincent Pastore|Dean Norris|Jos\u00e9 Z\u00fa\u00f1iga|Bill Nunn|Larry Gilliard Jr.|Flex Alexander
21,Get Shorty (1995),Comedy|Crime|Thriller,Barry Sonnenfeld,John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina|Delroy Lindo|James Gandolfini
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Jon Amiel,William McNamara|Dermot Mulroney|Holly Hunter|Sigourney Weaver|Harry Connick Jr.
